,0,1,2,3
366,2.33,1.66,0.0,2.89
367,1.47,1.33,0.0,0.94
368,0.49,1.09,0.51,0.75
369,4.8,3.39,0.0,4.0
370,2.73,1.2,0.16,0.94
371,4.47,5.0,0.0,4.62
372,1.0,3.02,0.0,1.21
373,1.35,3.3,0.0,0.98
374,1.16,2.36,0.0,1.16
375,0.75,4.89,0.0,3.78
376,2.57,4.94,0.13,1.45
377,2.85,5.0,0.0,1.0
378,3.32,2.94,0.0,1.15
379,5.0,5.0,0.0,0.53
380,3.8,4.85,0.0,0.99
381,1.65,5.0,0.11,4.57
382,2.98,5.0,0.0,2.36
383,5.0,4.7,0.13,1.93
384,3.78,4.93,0.0,5.0
385,5.0,4.01,0.59,3.53
386,1.94,4.9,0.1,4.22
387,3.75,5.0,0.59,4.02
388,0.91,4.49,0.0,0.96
389,3.16,5.0,0.0,2.78
390,2.57,2.9,0.0,3.47
391,4.61,3.81,0.0,5.0
392,3.18,3.37,0.0,0.9
393,4.85,5.0,0.0,3.16
394,3.42,4.63,0.21,3.1
395,4.3,5.0,0.56,0.92
396,2.05,4.77,0.0,2.16
397,1.15,5.0,0.0,1.48
398,0.72,3.32,0.02,2.02
399,5.0,5.0,0.0,3.68
400,3.98,3.83,0.0,0.76
401,4.88,3.64,0.0,4.18
402,5.0,5.0,0.0,4.96
403,1.95,3.61,0.26,3.84
404,0.01,0.6,0.0,0.0
405,1.03,1.1,0.06,0.0
406,1.46,1.3,0.18,0.0
407,0.2,0.24,0.0,0.0
408,0.48,0.0,0.41,0.14
409,4.39,4.29,0.57,0.0
410,0.1,0.35,0.0,0.1
411,5.0,5.0,0.0,4.9
412,0.0,0.66,0.0,0.0
413,0.4,0.04,0.5,0.59
414,4.41,2.73,0.0,0.54
415,0.68,0.1,0.12,1.49
416,2.57,0.47,0.0,0.0
417,0.1,0.76,0.76,0.1
418,3.82,2.92,0.57,3.71
419,0.0,0.0,0.18,0.38
420,0.12,0.0,0.0,0.69
421,5.0,4.61,0.0,0.23
422,1.3,1.05,0.0,0.79
423,0.0,0.0,0.0,0.0
424,0.0,0.58,0.52,0.52
425,2.58,2.67,0.0,0.74
426,0.21,2.54,0.37,1.94
427,0.04,2.58,0.12,0.0
428,2.85,3.15,0.0,2.54
429,3.73,2.23,0.63,1.91
430,0.0,0.33,0.13,0.0
431,0.12,0.0,0.0,0.1
432,0.0,0.61,0.47,0.33
433,1.15,1.47,0.31,0.03
434,2.56,3.35,0.01,0.47
435,3.87,4.61,0.48,1.13
436,0.48,0.52,0.0,0.7
437,0.27,0.18,0.0,0.07
438,0.0,0.34,0.09,0.54
439,0.85,2.35,0.0,0.1
440,0.09,0.0,0.43,0.01
441,4.87,4.69,0.21,3.53
442,4.97,4.34,0.4,0.0
443,0.19,2.45,0.0,3.16
444,3.27,4.84,0.39,0.01
445,4.12,3.6,0.47,0.51
446,2.59,4.28,0.0,2.67
447,2.68,5.0,0.0,4.52
448,2.35,1.98,0.0,0.03
449,0.09,0.0,0.0,0.76
450,4.73,3.86,0.33,0.09
451,3.28,2.43,0.0,0.16
452,2.1,4.18,0.0,1.87
453,1.07,0.52,0.37,0.74
454,1.88,2.81,0.55,0.0
455,4.54,4.45,0.16,2.58
456,0.12,0.26,0.5,0.0
457,0.0,0.16,0.18,0.03
458,4.32,3.27,0.0,2.68
459,4.6,5.0,0.17,0.0
460,4.24,4.52,0.0,0.05
461,4.8,4.8,0.38,1.83
462,3.19,4.9,0.09,3.31
463,4.8,5.0,0.0,4.55
464,5.0,2.74,0.09,0.0
465,4.12,3.68,0.39,4.59
466,4.33,4.87,0.18,0.09
467,3.61,0.23,0.0,0.1
468,2.14,0.59,0.31,0.44
469,3.77,4.72,0.67,1.7
470,5.0,4.46,0.01,4.99
471,5.0,5.0,0.0,0.44
472,4.7,4.04,0.23,0.55
473,3.97,4.77,0.04,0.21
474,1.06,3.3,0.2,1.25
475,0.1,0.17,0.0,0.31
476,2.41,2.66,0.0,0.47
477,0.0,0.0,0.0,0.0
478,0.03,0.12,0.0,0.0
479,4.04,3.53,0.55,0.47
480,0.0,0.0,0.0,0.0
481,2.65,2.37,0.04,0.5
482,1.36,0.69,0.23,0.0
483,4.08,4.09,0.0,0.0
484,2.59,2.24,0.0,0.0
485,2.69,2.39,0.14,2.71
486,0.34,0.45,0.0,0.0
487,1.42,2.61,0.0,3.24
488,3.21,0.15,0.0,0.03
489,2.52,2.76,0.17,0.0
490,4.8,4.47,0.15,4.35
491,4.88,4.91,0.0,4.18
492,0.66,0.58,0.0,0.12
493,0.0,3.75,0.0,0.07
494,0.75,4.54,0.0,0.1
495,0.0,0.0,0.27,0.0
496,0.0,0.6,0.0,0.02
497,4.16,2.67,0.0,0.04
498,0.5,2.93,0.0,0.56
499,1.11,3.21,0.0,0.08
500,0.11,4.46,0.56,0.0
501,0.91,0.82,0.29,1.11
502,1.4,0.12,0.57,0.66
503,0.47,0.44,0.0,0.14
504,4.1,4.03,0.1,2.81
